package_id,bounding_west,bounding_east,bounding_north,bounding_south,lat,lon,country
AND_birds,-122.2571511,-122.116622,44.28199677,44.20198189,44.24198933,-122.1868866,United States
BDFFP_1301,-59.85592055,-59.84737656,-2.385150264,-2.391524368,-2.388405236,-59.85027741,Brazil
BDFFP_1501,-59.77678849,-59.7564184,-2.432354322,-2.448126166,-2.443093069,-59.76780608,Brazil
CRBO_AERO,-83.51444862,-83.51037236,10.56558784,10.56148915,10.5635385,-83.51241049,Costa_Rica
CRBO_CANO,-83.52988894,-83.52581263,10.59537376,10.59127483,10.5933243,-83.52785079,Costa_Rica
CRBO_CCC,-83.5076145,-83.50353828,10.55067669,10.54657811,10.5486274,-83.50557639,Costa_Rica
CRBO_PARQ,-83.50200248,-83.49792629,10.53862314,10.53452465,10.5365739,-83.49996439,Costa_Rica
ElVerde,-65.816667,-65.81371522,18.33789137,18.333333,18.33561219,-65.81519113,Puerto_Rico
HBR-birds,-71.8062,-71.7022,43.959,43.914,43.9365,-71.7542,United States
HUNT_CLUB,-79.74733794,-79.7432287,9.163960866,9.159905785,9.161933325,-79.74528332,Panama
LIMBO_RIDGE,-79.75380456,-79.74969542,9.160710911,9.15665574,9.158683326,-79.75174999,Panama
Luquillo_birds,-65.8195938,-65.81540615,18.32595157,18.32182641,18.32388899,-65.81749998,United States
MAPS_ARCA,-124.1457084,-124.1390115,40.89700102,40.88799893,40.89249997,-124.14236,United States
MAPS_BIGB,-123.2879484,-123.2820514,40.67697942,40.6724605,40.67471996,-123.2849999,United States
MAPS_BMNC,-78.37814254,-78.37185724,42.67717909,42.67282081,42.67499995,-78.37499989,United States
MAPS_CASP,-71.95873488,-71.95292491,41.87538618,41.87073375,41.87305997,-71.95582989,United States
MAPS_COLR,-122.1107408,-122.1042589,45.60278488,45.59833503,45.60055995,-122.1074999,United States
MAPS_DISM,-76.53053369,-76.52502615,36.71895881,36.71438113,36.71666997,-76.52777992,United States
MAPS_DRAK,-121.684931,-121.6789488,40.44554803,40.44111189,40.44332996,-121.6819399,United States
MAPS_EURK,-124.1245943,-124.1187455,40.78506047,40.78049945,40.78277996,-124.1216699,United States
MAPS_FHLG,-121.0775431,-121.0718968,35.89637832,35.89196161,35.89416996,-121.0747199,United States
MAPS_GRFA,-111.9185254,-111.9120343,46.93588564,46.93133427,46.93360995,-111.9152799,United States
MAPS_JBWS,-76.70671327,-76.70106655,38.78285385,38.77826608,38.78055997,-76.70388991,United States
MAPS_KLAM,-123.2132838,-123.207276,41.84558719,41.84107273,41.84332996,-123.2102799,United States
MAPS_LASS,-121.4379929,-121.4320069,40.31221165,40.30778827,40.30999996,-121.4349999,United States
MAPS_LIND,-106.1437762,-106.1378836,41.30034105,41.29577888,41.29805996,-106.1408299,United States
MAPS_LKCR,-114.2539008,-114.247219,46.07633967,46.07200022,46.07416995,-114.2505599,United States
MAPS_LNER,-70.55163567,-70.5455841,43.34007203,43.33548789,43.33777996,-70.54860989,United States
MAPS_LSLP,-114.8335106,-114.820649,55.4318947,55.42449531,55.42819501,-114.8270798,Canada
MAPS_LSLP2,-114.8068505,-114.7987091,55.41661382,55.41226604,55.41443993,-114.8027798,Canada
MAPS_MORS,-122.3385975,-122.3319622,47.02779038,47.02332952,47.02555995,-122.3352799,United States
MAPS_NERI,-80.9031212,-80.89743863,37.76281088,37.75830905,37.76055997,-80.90027991,United States
MAPS_PALO,-122.8728532,-122.8671466,38.05058001,38.04607992,38.04832996,-122.8699999,United States
